rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps
0.001,93,0.0001,0.00041699179564602673,5376,624,-75.44050025000001,4,1344.0,8
0.001,1437,0.0001,3.7188176065683365e-05,10752,1166,-61.391341374999996,8,1344.0,9
0.001,2781,0.0001,9.599740224075504e-06,16128,1711,-73.973261,12,1344.0,9
0.001,4125,0.0001,4.7244870074791834e-05,21504,2348,-106.47179481250001,16,1344.0,9
0.001,5469,0.0001,1.4967514289310202e-05,26880,2990,-91.55760690000001,20,1344.0,8
0.001,6813,0.0001,2.0104325813008472e-05,32256,3591,-78.05739533333333,24,1344.0,8
0.001,8157,0.0001,3.132670826744288e-05,37632,4193,-69.24662132142858,28,1344.0,8
0.001,9501,0.0001,2.2302854631561786e-05,43008,4748,-61.41600359375,32,1344.0,9
0.001,10845,0.0001,9.16223962121876e-06,48384,5367,-68.21128758333333,36,1344.0,9
0.001,12189,0.0001,1.9649904061225243e-05,53760,5948,-64.95855429999999,40,1344.0,9
0.001,13533,0.0001,1.4892978470015805e-05,59136,6557,-61.13555534090908,44,1344.0,9
0.001,14877,0.0001,1.8098529835697263e-05,64512,7175,-57.39451945833333,48,1344.0,8
0.001,16221,0.0001,1.942988637892995e-05,69888,7766,-55.40340019230769,52,1344.0,8
0.001,17565,0.0001,1.4732605450262781e-05,75264,8406,-51.596250125,56,1344.0,8
0.001,18909,0.0001,3.7164820241741836e-05,80640,9023,-48.710964766666656,60,1344.0,8
0.001,20253,0.0001,2.303619112353772e-05,86016,9663,-46.849064328124996,64,1344.0,8
0.001,21597,0.0001,2.780902104859706e-05,91392,10305,-46.31129930882353,68,1344.0,8
0.001,22941,0.0001,2.6529289243626408e-05,96768,10983,-44.99320184722222,72,1344.0,8
